f1,f2,f3,f4,f5,class
-442.28967,89.56471,48.30814,40.102665,30.383312,0
-439.8327,93.950775,49.57794,40.462326,29.449585,0
-426.167,94.50639,49.479664,38.356647,27.586658,0
-430.90146,139.47322,83.39063,65.65171,59.91448,0
-330.96973,202.60297,61.299755,36.44389,30.39125,0
-276.19284,208.32454,41.62746,35.77754,23.356812,0
-233.65535,207.35986,30.623344,34.990032,19.082855,0
-195.73578,201.619,24.060743,33.67319,15.215795,0
-161.95749,193.80457,18.75151,32.250538,12.51472,0
-132.28244,183.7209,15.610944,30.334938,12.192672,0
-107.853485,173.7157,13.371593,29.385828,12.321055,0
-87.83024,164.22209,12.217125,28.909073,12.177533,0
-459.80862,53.62848,40.88539,42.551533,27.564127,0
-363.03217,16.680134,29.249052,63.109943,19.359936,0
-445.72403,54.225304,41.561203,37.79965,29.432165,0
-395.5653,79.930595,18.585264,30.874044,19.522654,0
-466.1353,61.47018,49.649605,44.808853,30.26021,0
-429.95303,72.97168,55.132046,44.291916,30.237906,0
-466.76495,54.571346,44.102066,41.849052,28.752611,0
-424.54956,71.99246,39.87305,44.89316,17.589224,0
-385.9434,89.78363,41.967796,43.712387,17.485874,0
-379.6154,14.375228,17.231647,75.495514,21.9336,0
-432.46964,46.582718,38.304012,35.66245,29.508575,0
-349.9693,14.842635,11.724372,69.30193,15.44193,0
-48.1366,-7.429968,-57.57917,-43.40987,-39.133766,1
-94.98325,20.835398,-67.449814,-12.378841,-36.038364,1
-98.268845,28.910145,-62.927624,-9.035234,-36.75709,1
-449.69308,83.44754,-51.98495,-25.435722,-21.123863,1
8.403501,64.92718,-85.46039,3.9794505,-18.86818,1
-334.2699,115.99742,-63.92382,-26.720581,-28.878426,1
-154.10841,44.99863,-56.217537,-8.671346,-44.93652,1
-212.68205,93.15048,-84.69326,-32.8802,-34.8619,1
-493.4006,84.77475,-41.133095,-32.463425,-30.222649,1
-210.66957,69.74154,-104.54147,-27.686817,-6.514002,1
-180.2891,-15.589983,-15.566919,1.4145066,-21.863237,2
-330.63065,-19.64926,25.523636,-1.7238765,-10.997081,2
-282.28714,-24.891657,42.530064,6.9861565,-25.541288,2
-193.88156,-73.54626,23.532263,24.4775,-20.780811,2
-135.624,19.21239,10.741064,25.20434,-19.22718,2
-193.88156,-73.54626,23.532263,24.4775,-20.780811,2
-190.98479,-49.44923,31.424332,-11.097409,-11.376854,2
-266.1145,-44.766033,10.536106,1.2184248,-0.056516707,2
-25.680687,-10.584527,3.1495135,5.2438664,-18.605816,2
-59.266743,-7.282931,0.7446413,-8.039875,-19.811588,2
-343.75983,-155.21672,41.385857,26.095284,13.445032,2
-314.46976,-74.411026,65.433495,52.368496,23.684868,2
-264.67966,-156.74849,25.775778,37.421864,-11.780018,2
-124.986046,-59.724155,-16.218378,1.4727987,-19.225416,2
-46.875923,40.273647,-4.9361353,32.332214,-6.877755,3
-151.76985,44.809204,22.651812,54.45101,8.040962,3
-162.58482,-10.730205,-18.921844,65.975555,10.711437,3
-106.90258,-6.5525703,-14.791144,47.872166,-1.7961799,3
-173.36467,-22.784977,-13.84668,18.913792,-4.3635664,3
-162.15189,54.960842,13.153679,38.02145,-12.441365,3
-179.7509,75.76597,4.7628937,42.689747,0.025577068,3
-49.309937,95.88639,-34.429913,28.289076,-13.167299,3
-20.953339,90.064674,-35.289143,22.313314,-14.080303,3
-226.47,56.149937,-25.1727,25.477692,6.613526,3
-229.12737,69.48317,-20.933971,13.2712555,14.65764,3
-130.97061,17.872044,12.90217,21.847435,-0.05652275,3
-221.10802,45.610332,6.5028453,14.98119,-9.488603,3
-243.58652,112.11309,-10.760988,33.82675,10.313714,3
-182.02284,48.55307,-16.871962,29.808212,-1.942845,3
-191.49544,11.947767,-3.5489037,19.184074,0.4172081,3
-105.55724,54.806824,19.957851,46.08951,-8.000279,3
-130.62802,26.04796,-10.523587,26.432983,-15.717102,3
-194.58244,25.023321,-23.81217,33.29637,-9.487612,3
