f1,f2,f3,f4,f5,class
11519,3,-32768,32764,1254.8031650738296,0
14030,116,-32767,27232,40.455868462823624,0
16344,7813,-32768,32767,1.0028769929181929,0
12164,44,-21017,32767,67.28872213967311,0
22293,-1,-32767,31909,-3465.7638585770405,0
71484,142,-31923,32767,45.83919667962166,0
12082,-1,-20174,17537,-2918.1992527407697,0
8124,0,-31595,32063,-12938.616424116424,0
15885,-45,-32767,32765,-172.0689440212531,0
11776,-1,-32539,32766,-6891.019543605965,0
25460,-290,-15987,32767,-20.05470312749128,0
26437,-379,-25982,32767,-31.8868454330404,0
26439,-378,-25990,32767,-32.179533050651514,0
5695,474,-20561,32767,10.25480690963661,0
22839,-383,-24782,32767,-32.69415395537213,0
22842,-127,-20089,32767,-50.64811715624604,0
12136,79,-32768,32767,136.33433903817857,0
19136,12,-30952,32766,851.0779882593667,0
19368,0,-31724,32766,-8781.07824427481,0
13272,13,-32767,21768,570.3665400454012,0
13272,13,-32767,21768,570.3665400454012,0
19888,11,-32767,32179,497.0010176868523,0
18752,19,-29368,32766,278.1489261855381,0
9422,-7,-16203,32766,-561.7940743100634,0
9711,7,-24614,32766,859.4542447019088,0
20043,1,-32767,29715,4978.982680157293,0
12881,-41,-31693,32766,-309.1642812072676,0
13922,-66,-32767,32766,-173.6807695751758,0
19008,-149,-32767,26512,-65.43925714365912,0
15488,7,-32407,32766,1321.1863490722158,0
22882,15,-30057,32766,211.61979373483345,0
7357,-53,-26049,32767,-39.15387779769734,1
4723,336,-32767,32710,13.956948019419862,1
11523,21,-28337,27552,143.831629075729,1
7061,-7,-30282,32624,-379.4786441471311,1
16047,-9,-18513,18258,-91.56511400004112,1
12328,0,-22776,32767,1846.6157626157626,1
8267,-7,-29130,32767,-421.63625789041055,1
23912,-14,-23926,32766,-61.493481903485254,1
29461,55749,-2075808768,2072155904,0.638108019221567,1
28031,-68015,-2147483648,1896326400,0.011118949720616382,1
29271,5,-24336,32765,108.07905505630299,1
15045,1,-31239,32767,2087.4056630065215,1
11904,-1,-32394,32393,-2393.0202823622985,1
14963,-113,-32768,32767,-18.823608564847458,1
14982,250,-32768,32767,19.72761825541825,1
16948,58,-32749,32750,38.70623146001028,1
9841,-88,-32768,32767,-29.38422825550309,1
39846,-1119,-32768,29164,-1.2556613747505356,1
15506,26,-29917,32767,38.16325336741717,1
11713,58,-30910,32113,58.96252072143515,1
31008,-15,-28379,32767,-41.655531934784996,1
15921,-41,-30760,31759,-85.85213088404824,1
15278,-35,-32028,32767,-169.93652250826312,1
66606,0,-16268,16506,-289.31503451069074,1
18681,11,-26202,32765,100.65841417785047,1
5506,-30,-32768,32591,-174.86214666603746,1
77161,-1085,-31776,28583,-1.0786805035373346,1
15421,26,-29917,32767,38.48207357013757,1
104959,-13,-32767,27563,-48.15714253299772,1
76045,0,-30910,32766,-2190.5491499424775,1
28487,-25,-31096,32766,-93.61535853396552,1
7093,-146,-32149,32767,-10.028872225352655,2
4426,3,-28564,32694,868.7680760026108,2
9251,-19,-32767,30165,-45.655790621592146,2
3587,0,-30508,32767,107008.23255813954,2
2143,0,-24198,23697,-2028.5788949726232,2
8615,4,-32112,32112,831.4308608167639,2
4409,-2,-32768,31188,-1049.6649683495446,2
3667,-618,-32768,30840,-6.539170677673832,2
6910,15,-21721,32765,92.17794305061534,2
2577,-397,-32090,32767,-15.273197093569044,2
2265,4,-32768,31255,862.5795113587656,2
4150,44,-30217,32767,84.58964908155285,2
3801,-69,-32767,25026,-56.424707991319934,2
2227,56,-29501,32767,57.05553040591519,2
3127,55,-28641,32767,49.287166280367416,2
4803,-2,-32767,31173,-974.4965034965035,2
3672,-119,-32767,32766,-36.620529861616895,2
11205,66,-32539,30903,22.659704597739474,2
8403,-5,-15247,14134,-192.3547366312838,3
9421,-5,-16820,14015,-246.08056516483975,3
6750,-5,-12969,13032,-160.9243512155093,3
7961,-10,-32767,28383,-174.0184379432198,3
15708,0,-32189,30315,33588.15239726027,3
2309,-7,-31263,31172,-438.71662483566394,3
6640,101,-32419,31622,43.730082755270686,3
9088,0,-32767,25772,8895.732584269663,3
26947,53861,-2117967104,2147483392,-0.25621785684175025,3
32333,-28759,-2026312704,2147483392,1.8655413184711167,3
12596,13,-32768,32767,312.52123340730515,3
11895,-23,-27277,32767,-102.03408654337566,3
10272,-19,-24466,32767,-70.51577323262161,3
5760,-14,-26214,32767,-123.3307912643067,3
24960,-22,-32768,24488,-79.6063759074232,3
13248,-23,-32768,30192,-113.25387738374252,3
11552,-24,-30157,32767,-91.3356022108978,3
17216,-23,-32768,25798,-106.42501167360598,3
14976,-28,-32768,22557,-107.81310941686525,3
5653,24,-32767,31206,190.40034467146674,3
16482,-15,-32765,30510,-42.97810799950544,3
23080,12,-32671,31622,227.44866594041258,3
13521,-7,-30488,32179,-356.2229991458255,3
7619,1,-32746,32283,5226.780099332077,3
36457,0,-32768,29684,-3485.0667762741873,3
59007,0,-32767,30198,-19271.630447761196,3
16464,57,-32711,32767,32.216428683976304,3
21109,-5,-29035,32690,-476.9221085759245,3
16862,-2,-32767,31729,-748.7100477406461,3
13213,28,-32767,32766,76.22423405723995,3
11474,27,-32748,32749,104.2598401988864,3
19330,0,-13986,16283,5228.722086236114,4
16807,0,-13526,11806,-2690.3752141633354,4
15195,1,-11766,12374,1009.769314742222,4
13066,1,-10130,11108,707.1487428692161,4
106634,4,-32191,32767,686.7007066794887,4
10749,-8,-32768,20683,-459.22992813317643,4
21137,0,-32768,22631,7107.729899886469,4
15391,1,-32768,23580,2954.436607582472,4
23010,-1641,-32768,19039,-1.8562808014895775,4
29567,-1230,-32768,27466,-3.064430909756664,4
28600,-900,-32768,27784,-5.47137571773475,4
23568,-1724,-32768,22015,-1.6458429036426812,4
25951,-1596,-32768,28733,-2.5326997014944976,4
28567,-961,-32768,31495,-4.725911815829606,4
8290,4,-32767,24327,1236.7195251594615,4
11168,-2,-32768,20851,-1302.5838542125186,4
12629,51,-32767,21953,52.6317977771586,4
11548,-26,-32500,32766,-117.38494843737699,4
25965,-1,-29433,32766,-1498.8401334359764,4
24065,0,-32724,32766,68042.35026737968,4
13156,-2,-31857,32767,-1129.6240611411254,4
31464,-14,-32768,29687,-134.08967610335287,4
7020,-18,-28400,32767,-128.49977988028576,4
6468,-21,-32768,30982,-108.56507551537868,4
27489,-15,-32768,32524,-162.7663889318323,4
23616,-16,-32768,27227,-178.25570629918457,4
20075,-15,-32768,28170,-186.68369115796503,4
16771,-17,-32768,29825,-181.67630927340983,4
14175,-19,-32768,31185,-168.0788781770377,4
11836,-17,-32768,30403,-167.866348040055,4
9918,-19,-30302,32767,-144.18123204259695,4
8700,-16,-32768,31818,-152.8973852777486,4
12402,-11,-32768,29884,-447.4454548074706,4
10100,-12,-31743,32767,-405.688702915829,4
9548,-14,-31788,32767,-350.52439266711315,4
5840,-15,-32768,31954,-362.55389264326135,4
17031,-13,-32767,27752,-260.1237265245648,4
14882,-12,-30173,32767,-343.9596459035119,4
11172,-13,-30878,32767,-337.6909232926353,4
14632,-12,-30305,32767,-271.5603227616427,4
12962,-155,-31568,32765,-36.805721884945854,4
17985,-190,-32150,32765,-29.41210542530622,4
27335,-200,-31982,32765,-26.043402281413194,4
10333,-143,-32249,32765,-41.71717048080467,4
39987,-193,-30685,32767,-27.020086652877215,4
7452,-23,-32768,32767,-280.1562393714223,4
7161,-44,-32768,32767,-154.27218148991287,4
11111,-60,-32768,32767,-129.6404759803181,4
22006,-31,-32768,32767,-195.70732575186096,4
50538,-5,-14894,19112,-148.85636135545084,4
48667,-7,-21576,18339,-93.50117470312775,4
55113,-7,-23280,22288,-109.806433930272,4
28724,11,-31439,32699,284.33328510061045,4
28764,22,-32053,32767,201.98655863147013,4
28871,24,-31908,32767,165.33849309280572,4
22162,2,-13710,12765,664.2921404718772,4
20475,1,-14325,13225,969.6613175675676,4
